2026-04-10 17:09:58.194 +09:00 | INF | TraceId:  | Executed DbCommand (33ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
SELECT 1 | Ex:  | Source: Microsoft.EntityFrameworkCore.Database.Command
2026-04-10 17:09:58.381 +09:00 | INF | TraceId:  | Executed DbCommand (50ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
SELECT OBJECT_ID(N'[__EFMigrationsHistory]'); | Ex:  | Source: Microsoft.EntityFrameworkCore.Database.Command
2026-04-10 17:09:58.396 +09:00 | INF | TraceId:  | Executed DbCommand (9ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
SELECT 1 | Ex:  | Source: Microsoft.EntityFrameworkCore.Database.Command
2026-04-10 17:09:58.400 +09:00 | INF | TraceId:  | Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
SELECT OBJECT_ID(N'[__EFMigrationsHistory]'); | Ex:  | Source: Microsoft.EntityFrameworkCore.Database.Command
2026-04-10 17:09:58.442 +09:00 | INF | TraceId:  | Executed DbCommand (5ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
SELECT [MigrationId], [ProductVersion]
FROM [__EFMigrationsHistory]
ORDER BY [MigrationId]; | Ex:  | Source: Microsoft.EntityFrameworkCore.Database.Command
2026-04-10 17:09:58.483 +09:00 | INF | TraceId:  | No migrations were applied. The database is already up to date. | Ex:  | Source: Microsoft.EntityFrameworkCore.Migrations
2026-04-10 17:09:58.717 +09:00 | INF | TraceId:  | User profile is available. Using 'C:\Users\105-4846\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. | Ex:  | Source: Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager
2026-04-10 17:09:59.756 +09:00 | INF | TraceId:  | Now listening on: https://localhost:52543 | Ex:  | Source: Microsoft.Hosting.Lifetime
2026-04-10 17:09:59.756 +09:00 | INF | TraceId:  | Now listening on: http://localhost:52544 | Ex:  | Source: Microsoft.Hosting.Lifetime
2026-04-10 17:09:59.925 +09:00 | INF | TraceId:  | Application started. Press Ctrl+C to shut down. | Ex:  | Source: Microsoft.Hosting.Lifetime
2026-04-10 17:09:59.926 +09:00 | INF | TraceId:  | Hosting environment: Development | Ex:  | Source: Microsoft.Hosting.Lifetime
2026-04-10 17:09:59.926 +09:00 | INF | TraceId:  | Content root path: C:\Projects\1 Study and work space\Issue-Management\IssueManagement\IssueManagement | Ex:  | Source: Microsoft.Hosting.Lifetime
2026-04-10 17:10:00.367 +09:00 | INF | TraceId: 336f62cdb68cbf3bba928985a82842de | Request starting HTTP/2 GET https://localhost:7053/ - null null | Ex:  | Source: Microsoft.AspNetCore.Hosting.Diagnostics
2026-04-10 17:10:00.619 +09:00 | INF | TraceId: 336f62cdb68cbf3bba928985a82842de | Executing endpoint '/Index' | Ex:  | Source: Microsoft.AspNetCore.Routing.EndpointMiddleware
2026-04-10 17:10:00.669 +09:00 | INF | TraceId: 336f62cdb68cbf3bba928985a82842de | Route matched with {page = "/Index", action = "", controller = ""}. Executing page /Index | Ex:  | Source: Microsoft.AspNetCore.Mvc.RazorPages.Infrastructure.PageActionInvoker
2026-04-10 17:10:00.688 +09:00 | INF | TraceId: 336f62cdb68cbf3bba928985a82842de | Executing handler method IssueManagement.Pages.IndexModel.OnGet - ModelState is "Valid" | Ex:  | Source: Microsoft.AspNetCore.Mvc.RazorPages.Infrastructure.PageActionInvoker
